OBJECTID	UIDIS05	UIDIS06	MPDDIS05	MPDDIS06	VACANTPERCENT	STATE_FIPS	TRACT	BLKGRP	POP2000	POP2004	POP00_SQMI	POP04_SQMI	WHITE	BLACK	ASIAN	HISPANIC	AGE_UNDER5	AGE_5_17	AGE_18_21	AGE_22_29	AGE_30_39	AGE_40_49	AGE_50_64	AGE_65_UP	VACANT	SQMI	SHAPE_LENG	SHAPE_AREA	STFID	PSA	UNEMPL	POV	SAMEHOUSE	PROFMAN	MALE	FEMALE	YOUNGPOP	YOUNGUNEMP	CONCDIS	RESSTAB	PROSOCIAL	METRO_BG	PUBHOUSPT	REC_BG	OFFPREM_BG	ONPREM_BG	STORE_BG	NIGHT_BG	TAVERN_BG	REST_BG	PHYSDIS0506	PHYSDIS0203	AVGDV	SCH_BG	AVGMPDDIS	AVGUIDISOR	AVGADW0506	AVGADW0001	RESIDENTIALCOUNT	RETAILCOUNT	MOTELHOTELCOUNT	RECREATIONCOUNT	VACANTCOUNT	METRODUMMY	PUBHOUSINGDUMMY	COMRETAILPERCENT	RATE18_29	ADWWEEKEND	ADWNIGHTS	ADWWEEKNIGHT	INVMILEDIST	STREETLIGHTDENSI	OFF_SQMI	ON_SQMI	NIGHT_SQMI	TAVERN_SQMI	STORE_SQMI	REST_SQMI	STLIGHT_SQMI	BUSSTOP_SQMI	PROSO_SQMI	HOMLESS_SQMI	DVWEEKEND	DVENDNIGHT	DVWEEKNIGHT	UIWEEKNIGH	UIENDNIGHT	UIWEEKEND	MPDWEEKNIG	MPDWENDNIG	MPDWEEKEND	NO_SINGLES	NOTALLOWS_SQMI	ALLOWS_SQMI	PCTNOTALLOW	ARR_0506	ADW05	ADW06	ADW00	ADW01	DV05	DV06
1	88	113	223	276	.0656934306569343	11	004801	3	555	524	11100	10480	73	399	41	68	32	73	27	81	112	96	89	45	60	.05	1549.30307454	136470.056374	110010048013	0	10.49	33.7	53.09	4.4	58.92	41.08	18.92	0	.38	-.15	10	0	0	1	2	0	2	0	0	0	149	139	10	2	250	100	6	12	217	14	0	1	18	0	0	.0510948905109489	.194594594594595	1.5	1.5	2.5	1531.94945959177	1220	40	0	0	0	40	0	1220	120	200	20	3	0	1	42	29	56	110	499	156	0	0	40	0	127	6	6	12	12	11	8
2	14	27	79	69	.0128805620608899	11	000100	2	1324	1287	16550	16087.5	1141	121	34	57	29	53	31	225	299	197	235	255	62	.08	2168.61750909	199324.533422	110010001002	206	2.32	7.09	44.43	21.59	48.04	51.96	6.19	0	-.97	-.24	6	0	0	1	2	1	2	0	0	1	37	55	2	0	74	20	0	2	805	10	0	0	11	0	0	.022248243559719	.193353474320242	0	0	0	1819.96950842682	875	25	12.5	0	0	25	12.5	875	125	75	0	0	0	1	12	3	8	29	148	46	0	0	25	0	107	0	1	3	1	1	3
3	78	76	315	419	.0132701421800948	11	005500	2	2292	2242	28650	28025	1759	250	174	132	34	30	90	713	548	282	315	280	117	.08	2661.23440342	218310.004832	110010055002	307	1.12	10.72	31.3	11.66	48.73	51.27	2.79	0	-.97	-.96	1	0	0	0	2	15	2	0	3	9	110	67	7	1	367	77	10	6	972	34	3	0	14	0	0	.0597156398104265	.350349040139616	3.5	2.5	2	3214.26906709768	1600	25	187.5	0	37.5	25	112.5	1600	125	12.5	12.5	2	2	0	32	27	40	133	734	212	0	0	25	0	144	6	5	6	6	8	6
4	134	130	494	512	.0138339920948617	11	005401	1	1462	1424	13290.9	12945.5	1151	79	167	110	7	6	430	452	200	119	152	96	92	.11	2550.412186	298641.736253	110010054011	0	2.51	14.91	25.14	9.51	46.51	53.49	.89	0	-.91	-1.48	1	0	0	0	3	42	3	1	3	33	124	109	6	1	503	132	7	12	394	10	5	2	7	0	0	.181818181818182	.60328317373461	2.5	2.5	1.5	6399.18614799705	1890.90909090909	27.2727272727273	381.818181818182	9.09090909090909	27.2727272727273	27.2727272727273	300	1890.90909090909	200	9.09090909090909	0	0	0	1	52	38	57	194	1006	219	0	0	27.2727272727273	0	232	6	9	12	12	7	6
5	75	70	101	130	.0755813953488372	11	004902	1	759	902	25300	30066.7	215	432	14	232	57	163	59	131	129	104	61	55	34	.03	1184.2129976	65740.853727	110010049021	0	20.68	28.22	52.17	9.57	53.1	46.9	28.99	0	.32	-.62	5	0	0	0	0	0	0	0	0	0	55	76	5	1	116	72	7	8	110	13	0	0	13	0	0	.116279069767442	.250329380764163	1.5	1	1	2022.17900676952	0	0	0	0	0	0	0	0	33.3333333333333	166.666666666667	33.3333333333333	0	0	0	41	10	24	52	231	58	0	0	0	0	170	2	3	6	10	7	3
6	108	152	323	284	.0882352941176471	11	004802	2	1797	1818	29950	30300	69	1401	243	99	118	388	93	200	265	270	232	231	57	.06	1682.99271659	148620.274074	110010048022	0	7.54	20.83	55.55	1.86	42.01	57.99	28.16	7.91	.47	-.69	5	1	0	0	0	8	0	1	1	5	93	70	40	0	304	130	18	5	108	19	0	1	15	1	0	.135294117647059	.163049526989427	5.5	4	1	1930.2470553305	933.333333333333	0	133.333333333333	16.6666666666667	16.6666666666667	0	83.3333333333333	933.333333333333	66.6666666666667	83.3333333333333	50	10	6	6	39	42	56	133	607	155	0	0	0	0	264	16	20	4	6	39	40
7	103	133	275	225	.142857142857143	11	004802	1	1056	926	21120	18520	140	771	90	75	53	175	54	169	227	173	142	63	96	.05	1542.86889168	139477.854577	110010048021	0	20.62	21.37	55.4	9.61	52.84	47.16	21.59	14.29	.38	-.26	7	0	0	0	2	0	2	0	0	0	78	117	16	0	250	118	8	10	213	7	0	0	45	0	0	.0222222222222222	.211174242424242	.5	.5	2.5	1528.01796047376	1760	40	0	0	0	40	0	1760	60	140	40	4	2	4	54	31	55	114	500	163	0	0	40	0	225	5	5	8	13	16	15
8	118	176	455	472	.135179153094463	11	004902	2	1527	1829	19087.5	22862.5	395	941	38	378	101	222	121	377	302	180	160	64	106	.08	1755.79351256	198120.74573	110010049022	0	2.6	14.31	44.6	9.85	53.24	46.76	21.15	0	-.15	-1.04	1	0	0	0	4	6	4	0	0	4	105	116	26	0	464	147	6	8	382	24	1	0	83	0	0	.0749185667752443	.326129666011788	2.5	2.5	1.5	3205.20429764361	1512.5	50	75	0	0	50	50	1512.5	100	12.5	12.5	4	4	7	53	20	49	198	927	231	0	0	50	0	284	6	10	7	9	26	25
9	51	63	328	372	.00569259962049336	11	005500	3	1479	1547	14790	15470	1244	65	122	86	22	16	109	420	339	229	239	105	140	.1	2514.11159043	264148.649403	110010055003	0	1.4	17.57	30.96	14.51	51.12	48.88	2.57	0	-.89	-.78	1	0	0	0	3	17	3	1	1	9	82	59	12	0	350	57	4	4	1464	5	6	1	9	0	0	.0537634408602151	.357674104124408	2.5	2	1	7335.09609699909	1650	30	170	10	10	30	90	1650	80	10	0	5	5	2	19	27	45	52	700	283	2	20	10	66.6666666666667	198	4	3	3	4	17	7
10	197	148	423	362	.384	11	004700	3	1140	1162	8142.9	8300	52	956	84	15	55	124	40	93	163	173	192	300	37	.14	2766.77709647	359578.436449	110010047003	0	24.59	42.04	52.92	5.02	34.65	65.35	15.7	0	.86	-.89	7	0	0	0	1	1	1	1	0	0	81	175	43	2	392	172	22	23	18	24	0	0	96	0	0	.18	.116666666666667	7	3	3	1533.85650077491	1464.28571428571	7.14285714285714	7.14285714285714	7.14285714285714	0	7.14285714285714	0	1464.28571428571	100	50	21.4285714285714	12	8	8	62	48	79	190	785	176	0	0	7.14285714285714	0	1178	28	21	27	19	41	45
