,VACANTPERCENT,UNEMPL,POV,YOUNGPOP,CONCDIS,PHYSDIS0506
0,0.0656934306569343,10.49,33.7,18.92,0.38,149
1,0.0128805620608899,2.32,7.09,6.19,-0.97,37
2,0.0132701421800948,1.12,10.72,2.79,-0.97,110
3,0.0138339920948617,2.51,14.91,0.89,-0.91,124
4,0.0755813953488372,20.68,28.22,28.99,0.32,55
5,0.0882352941176471,7.54,20.83,28.16,0.47,93
6,0.14285714285714302,20.62,21.37,21.59,0.38,78
7,0.13517915309446302,2.6,14.31,21.15,-0.15,105
8,0.00569259962049336,1.4,17.57,2.57,-0.89,82
9,0.384,24.59,42.04,15.7,0.86,81
10,0.009615384615384621,3.04,23.25,1.76,-0.8,54
11,0.0303234501347709,4.21,31.36,6.53,-0.57,212
12,0.0253164556962025,64.06,53.09,0.5,0.66,15
13,0.023489932885906003,50.24,43.51,1.1,0.36,27
14,0.0945273631840796,19.39,52.33,14.11,1.03,43
15,0.14285714285714302,0.0,0.0,0.0,0.0,17
16,0.0663265306122449,63.41,59.53,0.53,0.72,13
17,0.0427236315086782,3.81,12.74,9.57,-0.38,120
18,0.21761658031088102,11.76,8.72,1.39,-0.87,33
19,0.00898472596585804,7.32,15.35,11.38,-0.23,56
20,0.0,0.0,0.0,10.53,-0.97,1
21,0.75,80.34,90.31,29.18,0.0,11
22,0.0205128205128205,2.69,9.75,6.42,-0.84,13
23,0.00884955752212389,2.54,8.14,9.33,-0.99,80
24,0.0228898426323319,0.0,17.57,6.56,-0.94,113
25,0.0189155107187894,2.61,25.28,11.37,-0.72,97
26,0.0472972972972973,0.0,13.87,14.03,-0.93,111
27,0.007797270955165691,0.62,25.0,9.41,-0.78,52
28,0.0524625267665953,2.37,13.17,11.35,-0.86,76
29,0.0666666666666667,3.85,71.14,0.72,0.18,14
30,0.0442324371205551,0.0,33.24,5.7,-0.72,55
31,0.0148698884758364,1.66,4.08,26.26,-1.07,152
32,0.0271493212669683,0.0,4.13,22.08,-1.11,88
33,0.0116279069767442,5.11,12.1,18.87,-0.82,46
34,0.0611916264090177,0.0,2.92,22.04,-1.04,74
35,0.0189655172413793,0.0,2.25,21.58,-1.11,101
36,0.0333333333333333,0.0,7.51,8.66,-0.81,64
37,0.0108695652173913,3.04,7.22,10.59,-0.91,85
38,0.0748792270531401,2.14,4.29,20.07,-1.06,74
39,0.00672268907563025,4.55,4.78,4.6,-0.96,131
40,0.0521978021978022,2.08,3.57,17.48,-1.04,81
41,0.0595744680851064,0.0,0.85,16.07,-1.07,111
42,0.0175438596491228,3.23,24.07,5.01,-0.66,31
43,0.00326086956521739,2.42,11.07,6.97,-0.78,24
44,0.0968992248062016,64.3,8.43,7.89,0.1,78
45,0.0257731958762887,3.05,5.19,11.45,-0.95,26
46,0.0678294573643411,3.11,8.64,24.08,-0.97,192
47,0.00664451827242525,5.76,17.16,16.57,-0.86,44
48,0.0196463654223969,0.0,5.86,15.81,-1.06,73
49,0.0222222222222222,2.98,24.27,5.37,-0.7,27
50,0.031201248049921998,1.95,2.92,15.78,-1.07,172
51,0.0212765957446809,88.63,1.23,4.13,0.36,131
52,0.00315457413249211,1.97,9.47,7.85,-0.83,29
53,0.000364166059723234,1.61,8.85,7.11,-0.94,46
54,0.021505376344086002,3.78,4.77,25.38,-1.03,99
55,0.036281179138321996,6.3,0.0,24.72,-1.03,91
56,0.0197802197802198,0.0,1.16,18.02,-1.1,107
57,0.0170575692963753,2.46,5.46,17.04,-0.94,81
58,0.0294599018003273,1.7,2.39,18.22,-1.01,79
59,0.0142348754448399,1.6,2.18,16.94,-1.08,65
60,0.0358974358974359,0.0,5.94,16.75,-1.06,48
61,0.10107526881720401,4.6,0.0,20.38,-1.04,102
62,0.11143695014662801,6.37,1.1,21.54,-1.04,49
63,0.0308441558441558,2.89,7.0,15.49,-0.98,150
64,0.00542005420054201,0.44,5.39,9.81,-0.9,53
65,0.0705882352941176,3.21,0.0,23.33,-1.09,70
66,0.0559610705596107,3.04,3.5,16.63,-0.66,112
67,0.0153172866520788,0.92,3.16,17.17,-0.63,160
68,0.0114942528735632,5.39,0.0,15.57,-0.72,55
69,0.0451306413301663,6.41,17.87,22.54,-0.21,128
70,0.0240963855421687,5.74,14.66,19.74,-0.35,66
71,0.0172910662824208,5.99,5.21,20.39,-0.6,110
72,0.0404984423676012,0.0,1.63,24.97,-1.06,85
73,0.025830258302582995,4.4,12.1,18.82,-0.34,102
