,genre,movie
0,general,'The Lion Woman'
1,general,'Carrie Pilby'
2,general,'Same Kind of Different as Me'
3,general,'The Physician'
4,general,'The Boy in the Striped Pajamas'
5,general,"""Winter's Bone"""
6,general,'1 Mile to You'
7,general,'Berlin Syndrome'
8,general,'A Fortunate Man'
9,general,'The Fundamentals of Caring'
10,general,'The Guernsey Literary and Potato Peel Pie Society'
11,general,'Room'
12,general,'Zodiac'
13,general,'1922'
14,general,'Palm Trees in the Snow'
15,general,'Mudbound'
16,general,'Suite FranÃ§aise'
17,general,'Brain on Fire'
18,general,'The Boy Who Harnessed the Wind'
19,general,'Our Souls at Night'
20,general,'Unspeakable Acts'
21,general,'The Duchess'
22,general,'22 July'
23,general,'Thorne: Scaredy Cat'
24,general,'The Jane Austen Book Club'
25,general,'One Day'
26,general,'Judy Moody and the Not Bummer Summer'
27,general,'Playing for Time'
28,general,'The Lighthouse of the Orcas'
29,general,'Nothing to Lose'
30,general,'Kidnapping Mr. Heineken'
31,general,'Smoke & Mirrors'
32,general,"""Naomi and Ely's No Kiss List"""
33,general,'The Climb'
34,general,'Victor'
35,general,'Howards End'
36,general,'Revolutionary Road'
37,general,'Thorne: Sleepyhead'
38,general,'The Incredible Story of the Giant Pear'
39,general,"'Love, Rosie'"
40,general,'To All the Boys Iâ€™ve Loved Before'
41,general,'A Wrinkle in Time'
42,classic,'Howards End'
43,classic,'Doctor Zhivago'
44,classic,"""Logan's Run"""
45,classic,'Rebel Without a Cause'
46,classic,"""Schindler's List"""
47,classic,'Lolita'
48,classic,'Mutiny on the Bounty'
49,classic,'Cool Hand Luke'
50,classic,"""What's Eating Gilbert Grape"""
51,classic,'The Cincinnati Kid'
52,classic,'Raging Bull'
53,classic,"""Rosemary's Baby"""
54,classic,'Like Water for Chocolate'
55,classic,'Hotel Pacific'
56,classic,'Hum Aapke Hain Koun'
57,classic,"""Charlotte's Web"""
58,classic,'The Dirty Dozen'
59,fantasy,"""Cirque du Freak: The Vampire's Assistant"""
60,fantasy,'Legend of the Naga Pearls'
61,fantasy,'Inkheart'
62,fantasy,'Horns'
63,fantasy,'Solomon Kane'
64,fantasy,'Love O2O'
65,fantasy,'Mowgli: Legend of the Jungle'
66,fantasy,'John Carter'
67,fantasy,'April and the Extraordinary World'
68,fantasy,'Paheli'
69,fantasy,'Little Dragon Maiden'
70,fantasy,'Arjun: The Warrior Prince'
71,fantasy,'The Queen of the Damned'
72,magical,"""A Witches' Ball"""
73,magical,'The Little Mermaid'
